symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl,best_trade,worst_trade
SOL/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",42,23,19,54.76,6.96,0.1658,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,WT,EMA,BOS,SWEEP",36,19,17,52.78,6.65,0.1848,3.0,-1.0
DOGE/USDT:USDT,1h,"RSX,WT,EMA,BOS,SWEEP",44,22,22,50.0,6.23,0.1415,3.0,-1.0
ETH/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",25,14,11,56.0,5.82,0.233,2.16,-1.0
DOGE/USDT:USDT,1h,"WT,EMA,BOS,SWEEP",35,18,17,51.43,5.31,0.1517,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA,SWEEP",30,15,15,50.0,5.27,0.1757,3.0,-1.0
ETH/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",31,17,14,54.84,5.02,0.162,2.16,-1.0
BTC/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",33,21,12,63.64,4.83,0.1463,1.42,-1.0
BTC/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",37,25,12,67.57,4.71,0.1273,1.42,-1.0
BTC/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",37,25,12,67.57,4.71,0.1273,1.42,-1.0
ETH/USDT:USDT,1h,"RSI,RSX,WT,EMA",5,3,2,60.0,4.68,0.9356,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,WT,EMA,SWEEP",17,9,8,52.94,4.12,0.2424,3.0,-1.0
SOL/USDT:USDT,1h,"RSX,WT,EMA",5,4,1,80.0,3.88,0.7768,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA",5,4,1,80.0,3.88,0.7768,3.0,-1.0
DOGE/USDT:USDT,5m,"RSI,RSX,WT,EMA,SWEEP",23,15,8,65.22,3.8,0.1652,1.46,-1.0
DOGE/USDT:USDT,1h,"RSX,WT,EMA,SWEEP",25,12,13,48.0,3.7,0.1478,3.0,-1.0
BTC/USDT:USDT,4h,"RSX,WT,EMA",2,2,0,100.0,3.34,1.6679,3.0,0.34
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA",2,2,0,100.0,3.34,1.6679,3.0,0.34
ETH/USDT:USDT,5m,"RSI,RSX,WT,SWEEP",10,7,3,70.0,3.32,0.3321,0.95,-0.46
ETH/USDT:USDT,5m,"RSI,RSX,WT,BOS,SWEEP",10,7,3,70.0,3.32,0.3321,0.95,-0.46
DOGE/USDT:USDT,5m,"WT,EMA,SWEEP",13,9,4,69.23,3.15,0.2424,1.44,-1.0
DOGE/USDT:USDT,5m,"RSI,WT,EMA,SWEEP",13,9,4,69.23,3.15,0.2424,1.44,-1.0
BTC/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",41,26,15,63.41,3.06,0.0746,1.42,-1.0
ETH/USDT:USDT,4h,"RSX,WT,EMA",1,1,0,100.0,3.0,3.0,3.0,3.0
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA",1,1,0,100.0,3.0,3.0,3.0,3.0
SOL/USDT:USDT,1h,"RSX,EMA,SWEEP",1,1,0,100.0,3.0,3.0,3.0,3.0
SOL/USDT:USDT,1h,"RSX,EMA,BOS,SWEEP",1,1,0,100.0,3.0,3.0,3.0,3.0
DOGE/USDT:USDT,5m,"RSX,WT,EMA,SWEEP",18,11,7,61.11,2.82,0.1564,1.46,-1.0
DOGE/USDT:USDT,1h,"WT,EMA,SWEEP",16,8,8,50.0,2.78,0.1737,3.0,-1.0
ETH/USDT:USDT,1h,"RSX,WT,EMA",3,2,1,66.67,2.68,0.8926,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,RSX,WT,SWEEP",5,3,2,60.0,2.68,0.5369,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,RSX,WT,BOS,SWEEP",5,3,2,60.0,2.68,0.5369,3.0,-1.0
DOGE/USDT:USDT,5m,"RSX,EMA,SWEEP",4,3,1,75.0,2.62,0.6542,1.46,-1.0
DOGE/USDT:USDT,5m,"RSI,RSX,EMA,SWEEP",4,3,1,75.0,2.62,0.6542,1.46,-1.0
DOGE/USDT:USDT,5m,"RSX,EMA,BOS,SWEEP",4,3,1,75.0,2.62,0.6542,1.46,-1.0
DOGE/USDT:USDT,5m,"RSI,RSX,EMA,BOS,SWEEP",4,3,1,75.0,2.62,0.6542,1.46,-1.0
DOGE/USDT:USDT,1h,"WT,EMA,BOS",19,10,9,52.63,2.53,0.1332,3.0,-1.0
DOGE/USDT:USDT,1h,"RSI,WT,EMA,BOS",19,10,9,52.63,2.53,0.1332,3.0,-1.0
DOGE/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",25,13,12,52.0,2.52,0.1007,3.0,-1.0
DOGE/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",31,17,14,54.84,2.4,0.0773,3.0,-1.0
BTC/USDT:USDT,1h,"RSI,RSX,WT,EMA",4,4,0,100.0,2.38,0.5951,0.92,0.42
BTC/USDT:USDT,4h,"RSX,WT,EMA,SWEEP",3,2,1,66.67,2.34,0.7786,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,RSX,EMA,SWEEP",3,2,1,66.67,2.33,0.778,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,RSX,EMA,BOS,SWEEP",3,2,1,66.67,2.33,0.778,3.0,-1.0
SOL/USDT:USDT,5m,"WT,EMA,SWEEP",18,10,8,55.56,2.13,0.1181,1.42,-1.0
SOL/USDT:USDT,5m,"RSI,WT,EMA,SWEEP",18,10,8,55.56,2.13,0.1181,1.42,-1.0
ETH/USDT:USDT,4h,"RSX,WT,EMA,BOS",11,6,5,54.55,1.98,0.1799,3.0,-1.0
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",11,6,5,54.55,1.98,0.1799,3.0,-1.0
DOGE/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",27,14,13,51.85,1.96,0.0726,3.0,-1.0
DOGE/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",33,18,15,54.55,1.84,0.0557,3.0,-1.0
BTC/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS",22,16,6,72.73,1.78,0.081,0.92,-1.0
DOGE/USDT:USDT,1h,"RSX,EMA,SWEEP",2,2,0,100.0,1.57,0.7874,0.82,0.75
DOGE/USDT:USDT,1h,"RSI,RSX,EMA,SWEEP",2,2,0,100.0,1.57,0.7874,0.82,0.75
DOGE/USDT:USDT,1h,"RSX,EMA,BOS,SWEEP",2,2,0,100.0,1.57,0.7874,0.82,0.75
DOGE/USDT:USDT,1h,"RSI,RSX,EMA,BOS,SWEEP",2,2,0,100.0,1.57,0.7874,0.82,0.75
BTC/USDT:USDT,1h,"RSX,WT,EMA",2,2,0,100.0,1.53,0.7636,0.92,0.61
