symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl
ETH/USDT:USDT,1h,"RSX,EMA,SWEEP",5,3,2,60.0,4.97,0.99
SOL/USDT:USDT,1h,"RSI,RSX,WT,SWEEP",6,5,1,83.33,4.67,0.78
SOL/USDT:USDT,1h,"RSI,RSX,WT,BOS,SWEEP",6,5,1,83.33,4.67,0.78
BTC/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS",22,12,10,54.55,4.52,0.21
ETH/USDT:USDT,15m,"WT,EMA,SWEEP",19,9,10,47.37,4.48,0.24
ETH/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",21,10,11,47.62,4.46,0.21
DOGE/USDT:USDT,5m,"RSX,WT,EMA,BOS,SWEEP",42,24,18,57.14,4.1,0.1
ETH/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",23,9,14,39.13,4.09,0.18
DOGE/USDT:USDT,1h,"RSX,WT,EMA",6,4,2,66.67,3.88,0.65
SOL/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",43,21,22,48.84,3.67,0.09
BTC/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",34,16,18,47.06,3.66,0.11
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA,SWEEP",32,15,17,46.88,3.6,0.11
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",30,15,15,50.0,3.53,0.12
BTC/USDT:USDT,4h,"RSX,WT,EMA,BOS",30,15,15,50.0,3.53,0.12
DOGE/USDT:USDT,5m,"WT,EMA,BOS,SWEEP",37,21,16,56.76,3.48,0.09
DOGE/USDT:USDT,5m,"RSI,WT,EMA,BOS,SWEEP",37,21,16,56.76,3.48,0.09
DOGE/USDT:USDT,1h,"WT,EMA,BOS",19,10,9,52.63,3.46,0.18
DOGE/USDT:USDT,1h,"RSI,WT,EMA,BOS",19,10,9,52.63,3.46,0.18
DOGE/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS,SWEEP",47,26,21,55.32,3.4,0.07
SOL/USDT:USDT,5m,"RSI,WT,EMA,BOS,SWEEP",32,14,18,43.75,3.38,0.11
BTC/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",42,19,23,45.24,3.38,0.08
SOL/USDT:USDT,5m,"WT,EMA,BOS,SWEEP",32,14,18,43.75,3.38,0.11
BTC/USDT:USDT,1h,"RSI,RSX,WT,EMA",4,4,0,100.0,3.3,0.83
ETH/USDT:USDT,1h,"RSX,WT,EMA",3,2,1,66.67,3.24,1.08
SOL/USDT:USDT,4h,"WT,EMA,SWEEP",9,4,5,44.44,3.15,0.35
BTC/USDT:USDT,1h,"RSX,WT,EMA,BOS",20,10,10,50.0,3.1,0.15
ETH/USDT:USDT,4h,"RSX,WT,EMA",1,1,0,100.0,3.09,3.09
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA",1,1,0,100.0,3.09,3.09
DOGE/USDT:USDT,1h,"RSI,RSX,WT,BOS,SWEEP",5,3,2,60.0,3.08,0.62
DOGE/USDT:USDT,1h,"RSI,RSX,WT,SWEEP",5,3,2,60.0,3.08,0.62
